****************************** PROCRANK MEMORY REPORT FOR PACKAGE: START
### package_name=com.bestv.ott monitor_interval=1
*VSS - Virtual Set Size,    RSS - Resident Set Size,    PSS - Proportional Set Size,    USS - Unique Set Size
*Time   PID       Vss      Rss      Pss      Uss  cmdline
16:01:23   3372   729916K  208136K  184225K  181444K  com.bestv.ott
16:01:25   3372   730136K  213560K  189609K  186820K  com.bestv.ott
16:01:28   3372   743248K  206808K  182850K  180068K  com.bestv.ott
16:01:31   3372   760220K  214100K  190060K  187264K  com.bestv.ott
16:01:34   3372   706112K  195764K  171806K  169024K  com.bestv.ott
16:01:37   3372   737152K  227032K  203074K  200292K  com.bestv.ott
16:01:40   3372   728412K  227228K  203270K  200488K  com.bestv.ott
16:01:42   3372   728056K  220116K  196158K  193376K  com.bestv.ott
16:01:45   3372   728376K  220284K  196326K  193544K  com.bestv.ott
16:01:48   3372   710640K  206796K  182718K  179916K  com.bestv.ott
16:01:50   3372   728220K  220268K  196310K  193528K  com.bestv.ott
16:01:53   3372   728152K  220236K  196278K  193496K  com.bestv.ott
16:01:56   3372   728152K  220248K  196290K  193508K  com.bestv.ott
16:01:59   3372   728152K  220236K  196278K  193496K  com.bestv.ott
16:02:02   3372   728152K  220248K  196290K  193508K  com.bestv.ott
16:02:04   3372   728220K  220252K  196290K  193512K  com.bestv.ott
16:02:07   3372   727992K  219400K  195880K  193080K  com.bestv.ott
16:02:09   3372   728152K  219412K  195840K  193080K  com.bestv.ott
16:02:12   3372   728152K  219412K  195838K  193076K  com.bestv.ott
16:02:15   3372   728024K  219400K  195826K  193064K  com.bestv.ott
16:02:18   3372   728152K  219412K  195838K  193076K  com.bestv.ott
16:02:20   3372   728152K  219412K  195838K  193076K  com.bestv.ott
16:02:23   3372   719832K  219340K  195765K  193004K  com.bestv.ott
16:02:26   3372   718632K  219408K  195833K  193072K  com.bestv.ott
16:02:28   3372   742936K  219580K  196006K  193244K  com.bestv.ott
16:02:31   3372   718828K  219616K  196041K  193280K  com.bestv.ott
16:02:34   3372   718792K  219580K  196005K  193244K  com.bestv.ott
16:02:37   3372   716584K  219560K  195986K  193224K  com.bestv.ott
16:02:39   3372   716780K  219628K  196053K  193292K  com.bestv.ott
16:02:42   3372   716552K  219560K  195985K  193224K  com.bestv.ott
16:02:44   3372   716552K  219560K  195985K  193224K  com.bestv.ott
16:02:47   3372   716712K  219592K  196017K  193256K  com.bestv.ott
16:02:50   3372   716748K  219588K  196013K  193252K  com.bestv.ott
16:02:53   3372   716780K  219624K  196049K  193288K  com.bestv.ott
16:02:55   3372   716712K  219592K  196017K  193256K  com.bestv.ott
16:02:58   3372   716748K  219628K  196054K  193292K  com.bestv.ott
16:03:00   3372   716584K  219560K  195985K  193224K  com.bestv.ott
16:03:03   3372   716712K  219592K  196017K  193256K  com.bestv.ott
16:03:06   3372   716584K  219588K  196013K  193252K  com.bestv.ott
16:03:08   3372   716584K  219560K  195985K  193224K  com.bestv.ott
16:03:11   3372   716712K  219592K  196017K  193256K  com.bestv.ott
16:03:14   3372   716780K  219624K  196049K  193288K  com.bestv.ott
16:03:16   3372   716584K  219560K  195985K  193224K  com.bestv.ott
16:03:19   3372   716712K  219624K  196031K  193256K  com.bestv.ott
16:03:22   3372   716652K  219660K  196067K  193292K  com.bestv.ott
16:03:24   3372   716780K  219664K  196071K  193296K  com.bestv.ott
16:03:27   3372   716712K  219624K  196031K  193256K  com.bestv.ott
16:03:30   3372   715544K  219616K  196023K  193248K  com.bestv.ott
16:03:32   3372   715580K  219616K  196023K  193248K  com.bestv.ott
16:03:35   3372   715740K  219656K  196063K  193288K  com.bestv.ott
16:03:38   3372   715512K  219588K  195995K  193220K  com.bestv.ott
16:03:41   3372   716552K  219732K  196139K  193364K  com.bestv.ott
16:03:44   3372   716712K  219744K  196151K  193376K  com.bestv.ott
16:03:46   3372   716712K  219748K  196155K  193380K  com.bestv.ott
16:03:49   3372   716712K  219756K  196163K  193388K  com.bestv.ott
16:03:52   3372   716712K  219764K  196171K  193396K  com.bestv.ott
16:03:54   3372   716620K  219764K  196171K  193396K  com.bestv.ott
16:03:57   3372   716552K  219776K  196183K  193408K  com.bestv.ott
16:04:00   3372   716584K  219780K  196187K  193412K  com.bestv.ott
16:04:02   3372   717064K  206456K  182863K  180088K  com.bestv.ott
16:04:05   3372   717064K  206472K  182879K  180104K  com.bestv.ott
16:04:08   3372   716744K  206316K  182723K  179948K  com.bestv.ott
16:04:11   3372   719260K  207672K  184038K  181256K  com.bestv.ott
16:04:13   3372   716552K  207508K  183915K  181140K  com.bestv.ott
